filename,gen_1,gen_2,gen_3,gen_4,gen_5,gen_6,gen_7,gen_8,gen_9,gen_10,gen_11,gen_12,gen_13,gen_14,gen_15,gen_16,gen_17,gen_18,gen_19,gen_20,gen_21,gen_22,gen_23,gen_24,gen_25,gen_26,gen_27,gen_28,gen_29,gen_30,gen_31,gen_32,gen_33,gen_34,gen_35,gen_36,gen_37,gen_38,gen_39,gen_40,gen_41,gen_42,gen_43,gen_44,gen_45,gen_46,gen_47,gen_48,gen_49,gen_50,gen_51,gen_52,gen_53,gen_54,gen_55,gen_56,gen_57,gen_58,gen_59,gen_60,gen_61,gen_62
9797330_ny_vtd_to_63_with_5000_sims,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,3535,2817,2817,1843,1386,1386,1218,1218,741,469,296,178,178,178,146,113,113,40
76145200_ny_vtd_to_63_with_5000_sims,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3366,3366,3366,3366,3366,3366,3366,3366,3366,2655,2655,2655,2655,2655,2655,2655,2655,2655,2150,2150,694,542,288,95,73
49696598_ny_vtd_to_63_with_5000_sims,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,1706,1518,1518,1518,1518,1518,1518,1518,1518,1019,1019,1019,1019,1019,799,799,737,737,737,737,585,335,310,310,146,29
77734655_ny_vtd_to_63_with_5000_sims,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1802,1535,1463,1463,1462,1400,1400,1400,1400,1400,1400,1400,1400,1343,1343,1343,1308,1308,1308,1308,1308,1120,1120,1120,1120,853,838,838,834,396,396,137,127,50
67500360_ny_vtd_to_63_with_5000_sims,4283,4283,4283,4283,4283,4283,4283,4283,4283,4283,4283,4281,4281,4281,4281,4281,4281,4281,4281,4281,4281,4281,4281,4281,4281,4281,4281,4281,4281,4281,4281,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3358,3262,2546,1692,1534,1534,482,417,260,196,65,27
25317925_ny_vtd_to_63_with_5000_sims,4146,4146,4146,4146,4146,4146,4146,4146,4146,4146,4146,4146,4146,4146,4146,4146,4146,4146,4146,4146,4146,4146,4146,4146,4146,4146,4146,4146,4146,4146,4146,4146,4146,4146,4146,4146,4146,4146,4146,4146,4146,4146,4146,4146,4146,4130,4130,4130,4130,2568,2066,2066,1562,1562,945,945,623,461,355,241,55,20
66913230_ny_vtd_to_63_with_5000_sims,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1863,1816,1002,322,106,37
23027648_ny_vtd_to_63_with_5000_sims,4884,4884,4884,4884,4884,4884,4884,4884,4884,4884,4884,4884,4884,4884,4884,4884,4884,4884,4884,4884,4884,4884,4884,4884,4884,4884,4884,4884,4884,4884,4884,4884,4884,4884,4883,4883,4883,4883,4883,4446,4446,3796,3413,3165,3023,2862,2862,2862,2861,2860,2860,1368,1368,1368,1368,850,850,546,460,391,90,41
11619930_ny_vtd_to_63_with_5000_sims,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310,1953,1953,1953,1953,1953,1953,1953,1940,1940,956,726,375,364,192,192,33
59238928_ny_vtd_to_63_with_5000_sims,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1236,1236,1236,1201,1172,1029,1029,1028,1028,1028,1028,829,696,696,696,550,284,212,212,111,38
551064_ny_vtd_to_63_with_5000_sims,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,4380,3545,2230,1823,1823,1108,715,715,538,532,532,528,405,168,144,144,74,45
39076710_ny_vtd_to_63_with_5000_sims,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,4559,3216,3216,1758,1458,1458,1458,1092,1092,1092,1035,1035,831,434,50
45710585_ny_vtd_to_63_with_5000_sims,4844,4844,4844,4844,4844,4844,4844,4844,4844,4844,4844,4844,4844,4844,4844,4844,4844,4844,4844,4844,4844,4844,4844,4844,4844,4844,4844,4844,4844,4844,4844,4844,4844,4844,4843,4843,4227,4227,4227,2788,2788,2763,2676,2676,2676,578,560,560,560,560,560,560,420,339,339,339,339,339,309,179,100,34
