filename,gen_1,gen_2,gen_3,gen_4,gen_5,gen_6,gen_7,gen_8,gen_9,gen_10,gen_11,gen_12,gen_13,gen_14,gen_15,gen_16,gen_17,gen_18,gen_19,gen_20,gen_21,gen_22,gen_23,gen_24,gen_25,gen_26,gen_27,gen_28,gen_29,gen_30,gen_31,gen_32,gen_33,gen_34,gen_35,gen_36,gen_37,gen_38,gen_39,gen_40,gen_41
56510144_new_mexico_precincts_to_42_with_5000_sims,2268,2268,2268,2268,2268,2268,2268,2268,2268,2268,2268,2244,2244,2244,2244,2244,2243,2242,2242,2238,2238,2238,2238,2238,2238,2238,2238,2238,2238,2238,2124,2098,1730,1730,1730,1699,1310,498,107,48,18
62833320_new_mexico_precincts_to_42_with_5000_sims,811,811,811,811,811,811,811,811,811,811,811,811,811,808,808,808,808,808,808,615,603,584,565,565,565,544,544,544,460,460,460,460,455,455,362,347,191,142,127,91,20
11495400_new_mexico_precincts_to_42_with_5000_sims,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,1128,630,418,418,399,251,150,58,12
19726884_new_mexico_precincts_to_42_with_5000_sims,2565,2565,2565,2565,2565,2565,2565,2565,2565,2565,2260,2260,2260,2260,2260,2243,2243,2243,2243,2243,2243,2167,2100,2100,2100,1299,866,866,866,866,730,730,730,639,610,425,254,179,101,45,14
73395562_new_mexico_precincts_to_42_with_5000_sims,1478,1475,1475,1475,1475,1475,1475,1475,738,738,738,738,738,738,738,738,738,738,738,738,738,738,738,738,738,738,738,738,738,738,738,738,682,682,682,303,299,299,114,68,25
31710210_new_mexico_precincts_to_42_with_5000_sims,849,849,849,849,849,849,849,849,849,849,849,849,849,849,849,849,849,849,849,849,849,849,849,849,849,849,597,597,597,597,597,596,479,460,460,237,223,201,156,62,19
47297250_new_mexico_precincts_to_42_with_5000_sims,2553,2553,2553,2553,2553,2553,2553,2553,2553,2553,2553,2539,2539,2539,2539,2539,2539,2539,2539,2539,2539,2539,2210,2210,2210,2143,1793,1650,1625,1625,1591,1591,1591,1591,830,485,485,259,142,96,21
91444308_new_mexico_precincts_to_42_with_5000_sims,1374,1374,1374,1374,1374,1374,1374,1374,1374,1374,1286,1199,1199,1198,1198,957,957,957,957,957,957,957,957,715,596,596,596,596,596,576,576,573,573,571,548,328,328,273,118,45,16
94604095_new_mexico_precincts_to_42_with_5000_sims,1189,1189,1189,1189,1189,1189,1189,1186,1180,1180,1180,1180,816,816,816,635,635,635,635,635,635,635,635,568,568,568,568,568,568,568,568,568,568,568,568,435,409,222,174,60,21
32704828_new_mexico_precincts_to_42_with_5000_sims,1139,1139,1139,1139,1139,1139,1139,1139,1139,1038,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,896,896,896,796,558,558,558,487,487,487,269,242,190,75,36,17
90339232_new_mexico_precincts_to_42_with_5000_sims,4817,4817,4817,4817,4817,4817,4817,4817,4817,4817,4817,4817,4817,4454,4337,4337,3419,1325,1325,1262,1135,982,935,935,935,935,935,851,842,842,842,753,576,425,425,395,258,151,66,48,15
31096182_new_mexico_precincts_to_42_with_5000_sims,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,857,857,857,857,855,855,855,815,800,800,800,800,800,800,800,800,787,557,434,144,88,16
50679688_new_mexico_precincts_to_42_with_5000_sims,3001,3001,3001,3001,3001,2993,2993,2993,2993,2993,2993,2993,2993,2993,2993,2993,2993,2993,2993,2993,2993,2993,2993,2993,2527,2397,1188,1179,839,839,782,573,422,265,250,250,213,144,94,54,14
21640484_new_mexico_precincts_to_42_with_5000_sims,3233,3233,3233,3233,3233,3233,3233,3233,3233,3233,3233,3233,3233,3233,3233,3233,3222,3222,3222,3212,3212,3212,3212,3212,3212,3206,3206,3206,3186,3186,3186,3186,2580,2580,1326,1326,1153,590,216,82,17
20407127_new_mexico_precincts_to_42_with_5000_sims,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,938,938,938,938,938,938,938,938,938,938,938,938,938,938,938,938,938,938,903,870,870,870,749,741,735,338,65,26
23931430_new_mexico_precincts_to_42_with_5000_sims,3244,3244,3244,3244,3244,3244,3244,3244,3244,3244,3244,3244,3244,3244,3244,2626,2624,2624,2624,2624,2624,2624,2624,1627,1549,1520,1520,1036,668,341,341,341,341,341,341,263,195,195,163,51,18
59792076_new_mexico_precincts_to_42_with_5000_sims,1472,1472,1472,1472,1472,1472,1472,1472,1472,1472,1472,1472,1472,1472,1472,1472,1472,1472,1472,1472,1472,1472,1472,1472,1442,1442,1442,1369,1369,1369,1369,1369,1242,1236,1019,1019,806,361,172,85,25
