File Name,Number Original Ancestors,Mega Parent 0.01,Mega Parent 0.10,Mega Parent 0.25,Mega Parent 0.50,Mega Parent 0.75,Mega Parent 1.00
22379740_CA_cd_2020_map_to_52_with_5000_sims.csv,12,50,48,42,-1,-1,-1
50368080_CA_cd_2020_map_to_52_with_5000_sims.csv,19,50,47,44,-1,-1,-1
23332679_CA_cd_2020_map_to_52_with_5000_sims.csv,13,50,45,31,-1,-1,-1
77668696_CA_cd_2020_map_to_52_with_5000_sims.csv,15,50,45,31,-1,-1,-1
65995770_CA_cd_2020_map_to_52_with_5000_sims.csv,21,50,46,-1,-1,-1,-1
65050440_CA_cd_2020_map_to_52_with_5000_sims.csv,11,50,47,43,-1,-1,-1
16314381_CA_cd_2020_map_to_52_with_5000_sims.csv,9,50,44,42,35,17,-1
81799792_CA_cd_2020_map_to_52_with_5000_sims.csv,19,51,46,40,25,-1,-1
21716198_CA_cd_2020_map_to_52_with_5000_sims.csv,9,50,47,44,41,35,-1
2293507_CA_cd_2020_map_to_52_with_5000_sims.csv,6,50,47,46,29,-1,-1
64591459_CA_cd_2020_map_to_52_with_5000_sims.csv,16,50,49,48,47,-1,-1
9498691_CA_cd_2020_map_to_52_with_5000_sims.csv,18,50,46,34,-1,-1,-1
73631980_CA_cd_2020_map_to_52_with_5000_sims.csv,14,50,47,43,38,-1,-1
54216500_CA_cd_2020_map_to_52_with_5000_sims.csv,14,50,46,45,45,-1,-1
62486006_CA_cd_2020_map_to_52_with_5000_sims.csv,13,49,47,45,-1,-1,-1
25408000_CA_cd_2020_map_to_52_with_5000_sims.csv,12,50,48,26,23,-1,-1
63033725_CA_cd_2020_map_to_52_with_5000_sims.csv,16,50,48,46,40,-1,-1
2310684_CA_cd_2020_map_to_52_with_5000_sims.csv,12,50,48,46,44,-1,-1
3654992_CA_cd_2020_map_to_52_with_5000_sims.csv,16,49,46,43,15,-1,-1
48918219_CA_cd_2020_map_to_52_with_5000_sims.csv,14,50,47,42,-1,-1,-1
21356428_CA_cd_2020_map_to_52_with_5000_sims.csv,14,50,41,37,-1,-1,-1
537106_CA_cd_2020_map_to_52_with_5000_sims.csv,16,50,46,34,27,-1,-1
63299260_CA_cd_2020_map_to_52_with_5000_sims.csv,13,50,49,48,-1,-1,-1
19700700_CA_cd_2020_map_to_52_with_5000_sims.csv,9,50,48,24,12,-1,-1
40099982_CA_cd_2020_map_to_52_with_5000_sims.csv,21,50,44,36,-1,-1,-1
1498681_CA_cd_2020_map_to_52_with_5000_sims.csv,20,50,47,43,25,-1,-1
26437688_CA_cd_2020_map_to_52_with_5000_sims.csv,14,50,49,48,38,-1,-1
76708000_CA_cd_2020_map_to_52_with_5000_sims.csv,6,50,46,36,30,-1,-1
5892515_CA_cd_2020_map_to_52_with_5000_sims.csv,17,50,47,47,46,-1,-1
36011634_CA_cd_2020_map_to_52_with_5000_sims.csv,18,50,47,37,-1,-1,-1
92450228_CA_cd_2020_map_to_52_with_5000_sims.csv,13,50,47,45,43,-1,-1
61270098_CA_cd_2020_map_to_52_with_5000_sims.csv,12,50,48,44,-1,-1,-1
23281662_CA_cd_2020_map_to_52_with_5000_sims.csv,19,50,47,47,-1,-1,-1
77145169_CA_cd_2020_map_to_52_with_5000_sims.csv,23,50,48,38,-1,-1,-1
8251572_CA_cd_2020_map_to_52_with_5000_sims.csv,13,50,46,42,-1,-1,-1
57639382_CA_cd_2020_map_to_52_with_5000_sims.csv,1,50,43,43,41,41,38
58530271_CA_cd_2020_map_to_52_with_5000_sims.csv,20,50,47,42,-1,-1,-1
6579800_CA_cd_2020_map_to_52_with_5000_sims.csv,15,50,48,40,-1,-1,-1
84067615_CA_cd_2020_map_to_52_with_5000_sims.csv,13,50,48,47,33,33,-1
65126580_CA_cd_2020_map_to_52_with_5000_sims.csv,21,50,48,34,-1,-1,-1
4730331_CA_cd_2020_map_to_52_with_5000_sims.csv,14,50,46,45,25,-1,-1
75968348_CA_cd_2020_map_to_52_with_5000_sims.csv,4,50,47,39,37,19,-1
23255168_CA_cd_2020_map_to_52_with_5000_sims.csv,8,50,42,36,36,36,-1
30146700_CA_cd_2020_map_to_52_with_5000_sims.csv,20,50,48,32,30,-1,-1
40204192_CA_cd_2020_map_to_52_with_5000_sims.csv,13,50,45,45,-1,-1,-1
70144989_CA_cd_2020_map_to_52_with_5000_sims.csv,10,50,44,43,43,42,-1
50942680_CA_cd_2020_map_to_52_with_5000_sims.csv,10,49,47,44,23,15,-1
71971540_CA_cd_2020_map_to_52_with_5000_sims.csv,19,50,43,20,-1,-1,-1
89344073_CA_cd_2020_map_to_52_with_5000_sims.csv,10,50,49,47,-1,-1,-1
75101616_CA_cd_2020_map_to_52_with_5000_sims.csv,7,50,47,42,41,15,-1
302923_CA_cd_2020_map_to_52_with_5000_sims.csv,20,50,47,29,-1,-1,-1
92848599_CA_cd_2020_map_to_52_with_5000_sims.csv,3,50,46,46,15,14,-1
31489024_CA_cd_2020_map_to_52_with_5000_sims.csv,19,50,46,37,-1,-1,-1
47377512_CA_cd_2020_map_to_52_with_5000_sims.csv,23,50,46,28,-1,-1,-1
1267480_CA_cd_2020_map_to_52_with_5000_sims.csv,20,50,48,47,-1,-1,-1
5804184_CA_cd_2020_map_to_52_with_5000_sims.csv,4,50,48,47,37,36,-1
11853384_CA_cd_2020_map_to_52_with_5000_sims.csv,12,50,47,45,-1,-1,-1
1788040_CA_cd_2020_map_to_52_with_5000_sims.csv,16,50,41,39,-1,-1,-1
60290400_CA_cd_2020_map_to_52_with_5000_sims.csv,11,50,48,46,38,36,-1
57050550_CA_cd_2020_map_to_52_with_5000_sims.csv,11,50,45,44,43,21,-1
57423200_CA_cd_2020_map_to_52_with_5000_sims.csv,11,49,41,28,18,-1,-1
44769301_CA_cd_2020_map_to_52_with_5000_sims.csv,14,50,48,47,-1,-1,-1
55740092_CA_cd_2020_map_to_52_with_5000_sims.csv,6,50,48,41,38,37,-1
26060195_CA_cd_2020_map_to_52_with_5000_sims.csv,18,50,47,4,-1,-1,-1
77584338_CA_cd_2020_map_to_52_with_5000_sims.csv,23,50,46,23,-1,-1,-1
35986712_CA_cd_2020_map_to_52_with_5000_sims.csv,13,50,47,46,33,28,-1
91504279_CA_cd_2020_map_to_52_with_5000_sims.csv,16,50,48,-1,-1,-1,-1
57154444_CA_cd_2020_map_to_52_with_5000_sims.csv,13,50,47,35,34,22,-1
36669050_CA_cd_2020_map_to_52_with_5000_sims.csv,17,50,48,44,-1,-1,-1
