File Name,Number Original Ancestors,Mega Parent 0.01,Mega Parent 0.10,Mega Parent 0.25,Mega Parent 0.50,Mega Parent 0.75,Mega Parent 1.00
54119307_PA_to_18_with_5000_sims.csv,220,15,12,7,-1,-1,-1
41191520_PA_to_18_with_5000_sims.csv,262,16,12,-1,-1,-1,-1
85237376_PA_to_18_with_5000_sims.csv,256,15,12,2,-1,-1,-1
89930687_PA_to_18_with_5000_sims.csv,276,15,-1,-1,-1,-1,-1
18550749_PA_to_18_with_5000_sims.csv,272,16,-1,-1,-1,-1,-1
58631650_PA_to_18_with_5000_sims.csv,260,15,-1,-1,-1,-1,-1
57294549_PA_to_18_with_5000_sims.csv,248,16,11,7,-1,-1,-1
88956142_PA_to_18_with_5000_sims.csv,272,15,-1,-1,-1,-1,-1
90630401_PA_to_18_with_5000_sims.csv,284,15,-1,-1,-1,-1,-1
93906742_PA_to_18_with_5000_sims.csv,313,15,-1,-1,-1,-1,-1
36669050_PA_to_18_with_5000_sims.csv,263,15,9,-1,-1,-1,-1
98923734_PA_to_18_with_5000_sims.csv,270,15,9,-1,-1,-1,-1
97003676_PA_to_18_with_5000_sims.csv,290,15,-1,-1,-1,-1,-1
65050440_PA_to_18_with_5000_sims.csv,289,16,-1,-1,-1,-1,-1
21716198_PA_to_18_with_5000_sims.csv,252,16,12,-1,-1,-1,-1
32143189_PA_to_18_with_5000_sims.csv,300,16,12,-1,-1,-1,-1
92841589_PA_to_18_with_5000_sims.csv,298,15,-1,-1,-1,-1,-1
25832548_PA_to_18_with_5000_sims.csv,293,15,-1,-1,-1,-1,-1
50000760_PA_to_18_with_5000_sims.csv,280,15,-1,-1,-1,-1,-1
4777972_PA_to_18_with_5000_sims.csv,302,15,9,-1,-1,-1,-1
34733509_PA_to_18_with_5000_sims.csv,307,15,13,-1,-1,-1,-1
31489024_PA_to_18_with_5000_sims.csv,261,16,8,-1,-1,-1,-1
65012885_PA_to_18_with_5000_sims.csv,287,14,-1,-1,-1,-1,-1
15262360_PA_to_18_with_5000_sims.csv,288,16,11,-1,-1,-1,-1
1258192_PA_to_18_with_5000_sims.csv,270,15,6,-1,-1,-1,-1
43301258_PA_to_18_with_5000_sims.csv,289,15,1,-1,-1,-1,-1
12827094_PA_to_18_with_5000_sims.csv,286,14,-1,-1,-1,-1,-1
23281662_PA_to_18_with_5000_sims.csv,268,15,-1,-1,-1,-1,-1
64018545_PA_to_18_with_5000_sims.csv,279,16,12,-1,-1,-1,-1
74126342_PA_to_18_with_5000_sims.csv,294,16,-1,-1,-1,-1,-1
86836428_PA_to_18_with_5000_sims.csv,235,16,5,-1,-1,-1,-1
19234404_PA_to_18_with_5000_sims.csv,201,15,10,7,-1,-1,-1
23917895_PA_to_18_with_5000_sims.csv,269,15,-1,-1,-1,-1,-1
18532296_PA_to_18_with_5000_sims.csv,294,16,10,-1,-1,-1,-1
8376522_PA_to_18_with_5000_sims.csv,281,15,6,-1,-1,-1,-1
92562980_PA_to_18_with_5000_sims.csv,262,15,-1,-1,-1,-1,-1
67500360_PA_to_18_with_5000_sims.csv,273,15,11,-1,-1,-1,-1
59759848_PA_to_18_with_5000_sims.csv,294,15,-1,-1,-1,-1,-1
96942879_PA_to_18_with_5000_sims.csv,267,15,-1,-1,-1,-1,-1
19099520_PA_to_18_with_5000_sims.csv,311,15,-1,-1,-1,-1,-1
32220439_PA_to_18_with_5000_sims.csv,281,14,-1,-1,-1,-1,-1
54125168_PA_to_18_with_5000_sims.csv,264,15,-1,-1,-1,-1,-1
77116732_PA_to_18_with_5000_sims.csv,257,15,3,-1,-1,-1,-1
64161739_PA_to_18_with_5000_sims.csv,313,16,-1,-1,-1,-1,-1
5226520_PA_to_18_with_5000_sims.csv,241,16,12,-1,-1,-1,-1
10171597_PA_to_18_with_5000_sims.csv,258,15,-1,-1,-1,-1,-1
31898898_PA_to_18_with_5000_sims.csv,281,15,6,-1,-1,-1,-1
31804592_PA_to_18_with_5000_sims.csv,291,15,-1,-1,-1,-1,-1
57814218_PA_to_18_with_5000_sims.csv,278,15,-1,-1,-1,-1,-1
916670_PA_to_18_with_5000_sims.csv,270,15,-1,-1,-1,-1,-1
85589576_PA_to_18_with_5000_sims.csv,223,15,7,6,-1,-1,-1
384366_PA_to_18_with_5000_sims.csv,289,15,-1,-1,-1,-1,-1
69566733_PA_to_18_with_5000_sims.csv,292,15,-1,-1,-1,-1,-1
88304512_PA_to_18_with_5000_sims.csv,285,15,-1,-1,-1,-1,-1
62233630_PA_to_18_with_5000_sims.csv,263,16,-1,-1,-1,-1,-1
25408000_PA_to_18_with_5000_sims.csv,300,14,-1,-1,-1,-1,-1
52841150_PA_to_18_with_5000_sims.csv,291,15,-1,-1,-1,-1,-1
98596733_PA_to_18_with_5000_sims.csv,291,15,-1,-1,-1,-1,-1
16494080_PA_to_18_with_5000_sims.csv,296,15,-1,-1,-1,-1,-1
92179364_PA_to_18_with_5000_sims.csv,279,15,-1,-1,-1,-1,-1
54001696_PA_to_18_with_5000_sims.csv,290,16,12,-1,-1,-1,-1
75370762_PA_to_18_with_5000_sims.csv,274,15,-1,-1,-1,-1,-1
44288788_PA_to_18_with_5000_sims.csv,291,16,10,-1,-1,-1,-1
39350172_PA_to_18_with_5000_sims.csv,282,15,8,-1,-1,-1,-1
13450044_PA_to_18_with_5000_sims.csv,245,15,-1,-1,-1,-1,-1
54216500_PA_to_18_with_5000_sims.csv,288,15,-1,-1,-1,-1,-1
8195972_PA_to_18_with_5000_sims.csv,274,14,6,-1,-1,-1,-1
1690794_PA_to_18_with_5000_sims.csv,294,16,-1,-1,-1,-1,-1
90339672_PA_to_18_with_5000_sims.csv,252,16,-1,-1,-1,-1,-1
96887648_PA_to_18_with_5000_sims.csv,284,15,-1,-1,-1,-1,-1
49203944_PA_to_18_with_5000_sims.csv,259,15,4,-1,-1,-1,-1
40503430_PA_to_18_with_5000_sims.csv,297,16,-1,-1,-1,-1,-1
